Date,Total_Assets,Total_Liabilities,EBITDA,Stock,Debt_Equity_Ratio,Total_Assets_Billions,Total_Liabilities_Billions,EBITDA_Billions,Asset_Liability_Ratio,Total_Equity,ROA,Operating_Margin_Ratio
2022-03-31,53608835294000.0,50440880615000.0,0.0,SBIN.NS,1.497734010341362,53608.835294,50440.880615,0.0,1.0628053007872729,3167954679000.0,0.0,0.0
2023-03-31,59544183170000.0,55826503795000.0,0.0,SBIN.NS,1.4545753024943409,59544.18317,55826.503795,0.0,1.0665934479553234,3717679375000.0,0.0,0.0
2024-03-31,67337787997000.0,63032216658000.0,0.0,SBIN.NS,1.3411682321730378,67337.787997,63032.216658,0.0,1.0683074714373628,4305571339000.0,0.0,0.0
2021-03-31,10010045400000.0,8972460700000.0,0.0,AXISBANK.NS,1.29504351607071,10010.0454,8972.4607,0.0,1.1156410414815192,1037584700000.0,0.0,0.0
2022-03-31,11957791500000.0,10772571400000.0,0.0,AXISBANK.NS,1.5362349575928294,11957.7915,10772.5714,0.0,1.1100220231541005,1185220100000.0,0.0,0.0
2023-03-31,13444179600000.0,12142428600000.0,0.0,AXISBANK.NS,1.529064226384442,13444.1796,12142.4286,0.0,1.1072068070468208,1301751000000.0,0.0,0.0
2024-03-31,15182385300000.0,13607155700000.0,0.0,AXISBANK.NS,1.4532826037780835,15182.3853,13607.1557,0.0,1.1157647957243555,1575229600000.0,0.0,0.0
2021-03-31,4788542173000.0,3940156140000.0,0.0,KOTAKBANK.NS,0.562702585180348,4788.542173,3940.15614,0.0,1.215317871387706,848386033000.0,0.0,0.0
2022-03-31,5464979078000.0,4493325718000.0,0.0,KOTAKBANK.NS,0.5676907770894756,5464.979078,4493.325718,0.0,1.2162436958682104,971653360000.0,0.0,0.0
2023-03-31,6204297348000.0,5081153365000.0,0.0,KOTAKBANK.NS,0.4659591663413648,6204.297348,5081.153365,0.0,1.2210411499752085,1123143983000.0,0.0,0.0
2024-03-31,7676669590000.0,6376952690000.0,0.0,KOTAKBANK.NS,0.5778612727125423,7676.66959,6376.95269,0.0,1.2038147314528689,1299716900000.0,0.0,0.0
2021-03-31,687570000000.0,210630000000.0,118570000000.0,HINDUNILVR.NS,0.0211645760792046,687.57,210.63,118.57,3.264349807719698,476940000000.0,0.17244789621420364,0.22780164504220546
2022-03-31,705170000000.0,214300000000.0,130840000000.0,HINDUNILVR.NS,0.0212592486904058,705.17,214.3,130.84,3.2905739617358845,490870000000.0,0.18554391139725174,0.22825327849771088
2023-03-31,730870000000.0,225650000000.0,146100000000.0,HINDUNILVR.NS,0.024232665394402,730.87,225.65,146.1,3.2389541325060933,505220000000.0,0.1998987508038365,0.21847554115098494
2024-03-31,784990000000.0,270760000000.0,154760000000.0,HINDUNILVR.NS,0.0289741887617634,784.99,270.76,154.76,2.8992096321465506,514230000000.0,0.19714900826762125,0.2205655611324345
