Date,Total_Assets,Total_Liabilities,EBITDA,Operating_Margin_%,Date_x,Stock,Debt_Equity_Ratio,Date_y
2024-03-31,17559860000000.0,8301980000000.0,1773310000000.0,12.392682428773096,2024-03-31,RELIANCE.NS,0.43623224752703593,2024-03-31
2020-03-31,,,,,2020-03-31,ONGC.NS,,2020-03-31
2021-03-31,5432787530000.0,3006819650000.0,602995540000.0,10.874930250271007,2021-03-31,ONGC.NS,0.6363390562977342,2021-03-31
2022-03-31,5853902880000.0,3012036060000.0,847865240000.0,12.47532853300858,2022-03-31,ONGC.NS,0.46852449896547593,2022-03-31
2023-03-31,6180083380000.0,3146256070000.0,776688670000.0,10.693049451479531,2023-03-31,ONGC.NS,0.5294580045465972,2023-03-31
2024-03-31,7101929680000.0,3451024210000.0,1159123620000.0,13.916393100592463,2024-03-31,ONGC.NS,0.4763853765108717,2024-03-31
2020-03-31,,,,,2020-03-31,BPCL.NS,,2020-03-31
2021-03-31,1609815500000.0,1074264800000.0,287128600000.0,7.448485543932606,2021-03-31,BPCL.NS,1.0182389827891178,2021-03-31
2022-03-31,1875286300000.0,1356230100000.0,238024000000.0,4.276186274477748,2022-03-31,BPCL.NS,1.2432988951870723,2022-03-31
2023-03-31,1881381900000.0,1346158300000.0,131202400000.0,1.592117303878265,2023-03-31,BPCL.NS,1.2962064826737834,2023-03-31
2024-03-31,2024177500000.0,1267826400000.0,470661100000.0,8.412668107056037,2024-03-31,BPCL.NS,0.7218744046250478,2024-03-31
2020-03-31,,,,,2020-03-31,IOC.NS,,2020-03-31
2021-03-31,3549159200000.0,2421019300000.0,460504800000.0,8.87037719406555,2021-03-31,IOC.NS,1.043017649181115,2021-03-31
2022-03-31,4106248500000.0,2754982000000.0,509329700000.0,6.345987259929201,2022-03-31,IOC.NS,0.9886502568087301,2022-03-31
2023-03-31,4417184800000.0,2985041400000.0,348659400000.0,3.1313689333031864,2023-03-31,IOC.NS,1.0662526774932537,2023-03-31
2024-03-31,4823620000000.0,2941990200000.0,807377200000.0,7.937549361638004,2024-03-31,IOC.NS,0.7230959390898092,2024-03-31
2020-03-31,,,,,2020-03-31,GAIL.NS,,2020-03-31
2021-03-31,810098900000.0,277300600000.0,100627900000.0,9.547788283722447,2021-03-31,GAIL.NS,0.14803053043547915,2021-03-31
2022-03-31,965594000000.0,322539400000.0,180858800000.0,14.199480072039904,2022-03-31,GAIL.NS,0.14373896111755446,2022-03-31
2023-03-31,1077807500000.0,426737700000.0,104231700000.0,3.4259451103141063,2023-03-31,GAIL.NS,0.2744014355719917,2023-03-31
2024-03-31,1247172300000.0,475214500000.0,170329700000.0,8.338009985958,2024-03-31,GAIL.NS,0.2830463401386908,2024-03-31
2021-03-31,1714704000000.0,1345519900000.0,,,2021-03-31,BAJFINANCE.NS,2.867781954856669,2021-03-31
2022-03-31,2125058600000.0,1687931700000.0,,,2022-03-31,BAJFINANCE.NS,3.0400394027455184,2022-03-31
2023-03-31,2752263100000.0,2208543300000.0,,,2023-03-31,BAJFINANCE.NS,3.024847357039416,2023-03-31
2024-03-31,3757416200000.0,2990462700000.0,,,2024-03-31,BAJFINANCE.NS,2.8481141294746033,2024-03-31
2020-03-31,,,,,2020-03-31,RECLTD.NS,,2020-03-31
2021-03-31,4008668700000.0,3571029400000.0,,,2021-03-31,RECLTD.NS,7.534135074249502,2021-03-31
2022-03-31,4108600900000.0,3595459900000.0,,,2022-03-31,RECLTD.NS,6.4902759670344015,2022-03-31
2023-03-31,4655027500000.0,4073822400000.0,,,2023-03-31,RECLTD.NS,6.551727780778249,2023-03-31
2024-03-31,5481910900000.0,4788408500000.0,,,2024-03-31,RECLTD.NS,6.42488764278249,2024-03-31
2020-03-31,,,,,2020-03-31,PFC.NS,,2020-03-31
2021-03-31,7757070800000.0,6939168300000.0,,,2021-03-31,PFC.NS,11.342619440529704,2021-03-31
2022-03-31,7910002700000.0,6947251200000.0,,,2022-03-31,PFC.NS,9.626226905875644,2022-03-31
2023-03-31,8961118600000.0,7841305800000.0,,,2023-03-31,PFC.NS,9.275838480467034,2023-03-31
2024-03-31,10388773800000.0,9045888400000.0,,,2024-03-31,PFC.NS,8.813950658038808,2024-03-31
2020-03-31,,,,,2020-03-31,TCS.NS,,2020-03-31
2021-03-31,1307590000000.0,436510000000.0,484620000000.0,25.99755142315915,2021-03-31,TCS.NS,0.09018546157139055,2021-03-31
2022-03-31,1415140000000.0,516680000000.0,570750000000.0,25.33871522888701,2022-03-31,TCS.NS,0.08770571803587655,2022-03-31
